id,Name,Owner,URL,Component in ITRB,Refactor status,Gets results from,Calls,Notes,Ubiquitous,Hide,Part of,Hosted at,Externals,Tier
answer-appraiser,Answer Appraiser,DOGSLED,https://github.com/TranslatorSRI/answer-appraiser,SRI-Ranking,Continues into Refactor,,,,,,,ITRB,,ARS and UI
arax,RTX/ARAX,CATRAX,https://github.com/RTXteam/RTX,TeamExpander,Continues into Refactor,,,"SmartAPI registers the TRAPI base URL with the API version in the path (.../api/arax/v1.4), so the version moves when TRAPI does.",,,,ITRB,,
ars,ARS,NCATS,https://github.com/NCATSTranslator/Relay,NCATS,Continues into Refactor,"shepherd-arax, shepherd-aragorn, shepherd-bte","nodenorm-es, jaeger, answer-appraiser, node-annotator, smartapi",Calls SmartAPI on boot to fetch registration data,,,,ITRB,,ARS and UI
ars-test-server,ARS Test Server,NCATS,,NCATS,Continues into Refactor,,ars,A small server that periodically runs performance tests on a cron job,,,,ITRB,,ARS and UI
dingo-ingest,DINGO Ingests,DINGO,https://github.com/NCATSTranslator/translator-ingests,,New in Refactor,,nodenorm-es,,,,,ITRB,<External Data Sources,DINGO Ingests
docmetadata-api,docmetadata-api,CoCoWG,,TMKP,Removed after Refactor,,,,,,,ITRB,,
dogpark-ranger,DogPark Ranger,DOGSURF,https://github.com/NCATSTranslator/DogPark-Ranger,,New in Refactor,kgx-storage-pipeline,,,,,Dog Park,Scripps,,DogPark and Retriever
dogpark-tier-0,Tier 0: Gandalf (full KGX),DOGSLED,https://github.com/ranking-agent/gandalf,Retriever,New in Refactor,"kgx-storage-pipeline, ~dogpark-ranger",jaeger,,,,Dog Park,ITRB,,DogPark and Retriever
dogpark-tier-1,Tier 1: ElasticSearch (KGX split out by data source),DOGSURF,,Retriever,New in Refactor,dogpark-ranger,,"Actual data later, called by retriever",,,Dog Park,ITRB,,DogPark and Retriever
jaeger,Jaeger (OTel),DOGSLED,,SRI-Ranking,Continues into Refactor,,,"Third-party software, not a Translator component: we deploy upstream Jaeger. Only the chart is ours.",TRUE,,,ITRB,>Engineering,Shared services
kgx-storage-pipeline,KGX Storage,DINGO,https://github.com/RTXteam/kgx-storage,KGX,New in Refactor,dingo-ingest,,,,,,ITRB,,KGX Storage
name-lookup,Name Lookup (NameRes),DOGSLED,https://github.com/NCATSTranslator/NameResolution,SRI-Ranking,Continues into Refactor,,jaeger,,,,,ITRB,,Shared services
nameres-es,NameRes ES,CoCoWG,https://github.com/biothings/NameResolutionAPI,Nodenorm,In development,,,,,,,ITRB,,Shared services
node-annotator,Node Annotator,CoCoWG,https://github.com/biothings/biothings_annotator,Exploring-Agent,Continues into Refactor,,"~jaeger, pending-api","Registered in SmartAPI without an infores, and its ci/test servers carry no x-maturity and are declared http:// not https://. SmartAPI registers it at biothings.ci.transltr.io/annotator, which does not serve the OpenAPI document; annotator.ci.transltr.io does. Both were live on 2026-08-31, so the ci base URL is recorded here rather than pulled. Prod serves its OpenAPI at openapi.json rather than the webapp/openapi.json that ci and test use, so it carries a per-environment override; ci and test are the intended convention going forward.",,,,ITRB,,Shared services
nodenorm-es,NodeNorm ES,CoCoWG,https://github.com/biothings/NodeNormalizationAPI,Nodenorm,New in Refactor,,jaeger,,,,,ITRB,,Shared services
pending-api,BioThings Pending API,DOGSURF,https://github.com/biothings/pending.api,Exploring-Agent,Continues into Refactor,,,"Hosts a number of APIs from the previous phase. Some have moved to CoCo's own ES server (nodenorm, annotator, nameres) and the BTE ones are expected to be removed, but this host is likely to stay live while any of its APIs are still in use, and could host tier 2 knowledge graph APIs later.",,,,ITRB,,Shared services
ploverdb,Ploverdb,CATRAX,https://github.com/RTXteam/PloverDB,TeamExpander,Continues into Refactor,,,"The SmartAPI record is registered as infores:rtx-kg2 — the knowledge graph — not as PloverDB, the server that hosts it. Its servers are kg2cploverdb.*.transltr.io.",,,,ITRB,,
retriever,Retriever (query API),DOGSURF,https://github.com/BioPack-team/retriever,Retriever,New in Refactor,"dogpark-tier-0, dogpark-tier-1",jaeger,API server to route calls to the different tiers,,,,ITRB,,DogPark and Retriever
shepherd-aragorn,ARAGORN,DOGSLED,https://github.com/BioPack-team/shepherd,shepherd,New in Refactor,retriever,jaeger,,,,Shepherd,ITRB,,Shepherd
shepherd-arax,ARAX,CATRAX,https://github.com/BioPack-team/shepherd,shepherd,New in Refactor,retriever,jaeger,"Contains ARAX, ARAGORN and BTE",,,Shepherd,ITRB,,Shepherd
shepherd-bte,BioThings Explorer (BTE),DOGSURF,https://github.com/BioPack-team/shepherd,shepherd,New in Refactor,retriever,jaeger,,,,Shepherd,ITRB,,Shepherd
smartapi,SmartAPI,DOGSURF,https://github.com/NCATSTranslator/smartAPI,,Continues into Refactor,,,,,,,DogPark AWS,,Shared services
test-harness,Test Harness,DOGSLED,https://github.com/TranslatorSRI/TestHarness,,Continues into Refactor,ars,smartapi,"The Test Harness uses Smart API to grab the urls for the various components it tests. It isn't really hosted, but is a spawned python script that runs on the RENCI server.",,,,RENCI,>Engineering,Shared services
translator-component-toolkit,Translator Component Toolkit,CATRAX,https://github.com/NCATSTranslator/Translator_component_toolkit,,Continues into Refactor,"ars, shepherd-arax, shepherd-aragorn, shepherd-bte, retriever","translator-sdk, smartapi",,,,,Local,>Super User,TSDK/TCT
translator-sdk,Translator SDK,CoCoWG,https://github.com/NCATSTranslator/Translator_sdk,,New in Refactor,,"nodenorm-es, name-lookup, node-annotator, ~smartapi",,,,,Local,,TSDK/TCT
ui,Translator UI,UI,https://github.com/NCATSTranslator/ui-fe,UI,Continues into Refactor,ars,"docmetadata-api, name-lookup",,,,,ITRB,>User,ARS and UI
